22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x1872 → Unknown (ignored) pos=(0,0)
22:08:22 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x1bd7 → Unknown (ignored) pos=(0,0)
22:08:26 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:26 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:26 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:28 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:28 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:28 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:28 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:28 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:28 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:29 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:29 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:29 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:29 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:29 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:29 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:29 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:29 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:29 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:29 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:31 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:31 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:31 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:31 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:31 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:31 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:32 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:32 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:32 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:32 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:32 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:32 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:32 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:32 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:32 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:32 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:32 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:32 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:32 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:32 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:32 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:33 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:33 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:33 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:33 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:33 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:33 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:34 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:34 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:34 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:34 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:34 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:34 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:34 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:34 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:34 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:35 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:35 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:35 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:35 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:35 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:35 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:35 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:35 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:35 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:35 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:35 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:35 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:36 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:36 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:36 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:36 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:36 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:36 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:37 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:37 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:37 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:37 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:37 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:37 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:37 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:37 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:38 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:38 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:38 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:38 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:38 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:38 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:38 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:38 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:38 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:38 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:38 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:38 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:38 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:38 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:38 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:38 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:38 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:38 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:39 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:39 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:39 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:40 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:40 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:40 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:40 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:40 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:40 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:41 [INFO   ] [Explorer] +1 positions for 'Defiled Side Chamber' (total: 435)
22:08:43 [INFO   ] [Scanner] Zone FName[1910540] = 'UIMainLevelV2' (GWorld 0x2F1B7EBDB80)
22:08:43 [INFO   ] [Scanner] Zone FName[1444123] = 'YJ_XieDuYuZuo200' (GWorld 0x2F1ABE409A0)
22:08:43 [INFO   ] [Overlay] Switched calibration to map: Defiled Side Chamber
22:08:44 [INFO   ] [Explorer] +19 positions for 'Defiled Side Chamber' (total: 454)
22:08:47 [INFO   ] [Explorer] +10 positions for 'Defiled Side Chamber' (total: 464)
22:08:50 [INFO   ] [Explorer] +30 positions for 'Defiled Side Chamber' (total: 494)
22:08:53 [INFO   ] [Explorer] +52 positions for 'Defiled Side Chamber' (total: 546)
22:09:15 [INFO   ] [Explorer] +1 positions for 'Defiled Side Chamber' (total: 547)
22:09:18 [DEBUG  ] [UE4 Scanner] [typed_event] MapCustomTrap Sandlord arena class='EMapCustomTrap' pos=(-3200,4050)
22:09:18 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0x9 → Unknown (ignored) pos=(-8850,0)
22:09:18 [DEBUG  ] [UE4 Scanner] [typed_event] spawn=0xa → Sandlord (platform pos assigned) platform=(-3200,4050)
