19:37:08 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:10 [INFO   ] [ZoneWatcher] Scan #7 for 'High Court Maze' (14s in map, cache=1 pts)
19:37:10 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:10 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:12 [INFO   ] [ZoneWatcher] Scan #8 for 'High Court Maze' (16s in map, cache=1 pts)
19:37:12 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:12 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:14 [INFO   ] [ZoneWatcher] Scan #9 for 'High Court Maze' (18s in map, cache=1 pts)
19:37:14 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:14 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:16 [INFO   ] [ZoneWatcher] Scan #10 for 'High Court Maze' (20s in map, cache=1 pts)
19:37:16 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:16 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:18 [INFO   ] [ZoneWatcher] Scan #11 for 'High Court Maze' (22s in map, cache=1 pts)
19:37:18 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:18 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:20 [INFO   ] [ZoneWatcher] Scan #12 for 'High Court Maze' (24s in map, cache=1 pts)
19:37:20 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:20 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:22 [INFO   ] [ZoneWatcher] Scan #13 for 'High Court Maze' (26s in map, cache=1 pts)
19:37:22 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:22 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:24 [INFO   ] [Explorer] Started (300s session)
19:37:24 [INFO   ] [Explorer] Starting 300s exploration from (420, -190) — zone watcher collects data in parallel
19:37:24 [INFO   ] [ZoneWatcher] Scan #14 for 'High Court Maze' (28s in map, cache=1 pts)
19:37:24 [INFO   ] [Input] Hardware mouse move: client(952,569) -> screen(1584,724)
19:37:24 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:24 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:24 [INFO   ] [Input] Hardware click right at (952,569)
19:37:24 [INFO   ] [Explorer] Target #1: (9563, -4267) — timeout=15s | 300s remaining
19:37:24 [INFO   ] [Navigator] Navigating to position (9563, -4267)
19:37:24 [INFO   ] [Input] Hardware mouse move: client(1225,691) -> screen(1858,846)
19:37:24 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:25 [INFO   ] [Input] Hardware mouse move: client(1223,695) -> screen(1853,848)
19:37:25 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:25 [INFO   ] [Input] Hardware mouse move: client(1218,706) -> screen(1848,861)
19:37:25 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:25 [INFO   ] [Input] Hardware mouse move: client(1213,715) -> screen(1844,871)
19:37:25 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:25 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,876)
19:37:25 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:25 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,875)
19:37:25 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:26 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,874)
19:37:26 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:26 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,878)
19:37:26 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:26 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,874)
19:37:26 [INFO   ] [ZoneWatcher] Scan #15 for 'High Court Maze' (30s in map, cache=1 pts)
19:37:26 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:26 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:26 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:26 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,877)
19:37:26 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:26 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,877)
19:37:26 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:27 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,877)
19:37:27 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:27 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,877)
19:37:27 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:27 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,875)
19:37:27 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:27 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,875)
19:37:27 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:27 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,877)
19:37:27 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:28 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,877)
19:37:28 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:28 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,875)
19:37:28 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:28 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,877)
19:37:28 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:28 [INFO   ] [ZoneWatcher] Scan #16 for 'High Court Maze' (33s in map, cache=1 pts)
19:37:28 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:28 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:28 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1841,878)
19:37:28 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:28 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,877)
19:37:28 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:28 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,877)
19:37:29 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:29 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,875)
19:37:29 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:29 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,878)
19:37:29 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:29 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1840,875)
19:37:29 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:29 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,877)
19:37:29 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:29 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,875)
19:37:29 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:30 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,877)
19:37:30 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:30 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1844,878)
19:37:30 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:30 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,875)
19:37:30 [INFO   ] [ZoneWatcher] Scan #17 for 'High Court Maze' (35s in map, cache=1 pts)
19:37:30 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:30 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:30 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:30 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,874)
19:37:30 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:30 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,878)
19:37:30 [INFO   ] [Navigator] STUCK navigating to position - attempting escape
19:37:30 [INFO   ] [Navigator]   Escape angle: 0° -> screen (1152, 569)
19:37:30 [INFO   ] [Input] Hardware mouse move: client(1152,569) -> screen(1782,724)
19:37:32 [INFO   ] [Navigator]   Moved 32 units during escape
19:37:32 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:32 [INFO   ] [ZoneWatcher] Scan #18 for 'High Court Maze' (37s in map, cache=1 pts)
19:37:32 [INFO   ] [WallScan] Re-scanning MinimapSaveObject for 'High Court Maze' (cache has 1 pts, checking for new positions)
19:37:32 [INFO   ] [WallScan] Reading MinimapSaveObject.Records for 'High Court Maze' (zone='DD_TingYuanMiGong200')
19:37:32 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,874)
19:37:32 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:32 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1842,875)
19:37:32 [INFO   ] [Input] Hardware key 'e' (VK=0x45)
19:37:33 [INFO   ] [Input] Hardware mouse move: client(1210,721) -> screen(1843,874)
